symbol,universe_name,start_date,end_date,source_type,source_url,confidence
GENKM,BIST_SANAYI,2026-03-06,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1566292,high
AKHAN,BIST_SANAYI,2026-02-06,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1552912,high
FRMPL,BIST_SANAYI,2026-01-15,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1542072,high
MEYSU,BIST_SANAYI,2026-01-13,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1540683,high
MARMR,BIST_SANAYI,2025-09-16,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1490058,medium
METUR,BIST_SANAYI,2025-09-08,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1487062,high
BALSU,BIST_SANAYI,2025-02-20,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1393969,high
VSNMD,BIST_SANAYI,2025-02-11,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1391532,high
SERNT,BIST_SANAYI,2025-02-04,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1388695,high
ARMGD,BIST_SANAYI,2025-01-03,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1371056,high
CGCAM,BIST_SANAYI,2024-12-17,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1365997,high
TBORG,BIST_SANAYI,2024-09-23,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1336226,high
DURKN,BIST_SANAYI,2024-09-17,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1334351,high
CEMZY,BIST_SANAYI,2024-09-09,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1331298,high
OZATD,BIST_SANAYI,2024-09-05,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1330107,high
GUNDG,BIST_SANAYI,2024-08-22,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326605,high
TCKRC,BIST_SANAYI,2024-08-21,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326343,high
BAHKM,BIST_SANAYI,2024-08-13,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1323966,high
EFORC,BIST_SANAYI,2024-07-05,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1305522,high
SEGMN,BIST_SANAYI,2024-07-04,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1304844,high
YIGIT,BIST_SANAYI,2024-06-06,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1294774,high
ALKLC,BIST_SANAYI,2024-06-04,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1293635,high
OZYSR,BIST_SANAYI,2024-05-29,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1291655,high
KOCMT,BIST_SANAYI,2024-05-17,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1286992,high
LILAK,BIST_SANAYI,2024-05-09,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1283308,high
ARTMS,BIST_SANAYI,2024-03-04,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1253392,high
OBAMS,BIST_SANAYI,2024-03-01,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1252921,high
ALVES,BIST_SANAYI,2024-02-29,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1252590,high
LMKDC,BIST_SANAYI,2024-02-22,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1250984,high
BORSK,BIST_SANAYI,2024-02-15,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1249495,high
MEGMT,BIST_SANAYI,2023-12-15,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1225789,high
KBORU,BIST_SANAYI,2023-12-14,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1225264,high
AGROT,BIST_SANAYI,2023-11-23,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1219377,high
EKOS,BIST_SANAYI,2023-11-21,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1218921,high
MARBL,BIST_SANAYI,2023-11-08,,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1214893,high
ACSEL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ADEL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
AEFES,BIST_SANAYI,2020-01-01,,manual_seed,,medium
AFYON,BIST_SANAYI,2020-01-01,,manual_seed,,medium
AKCNS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
AKSA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ALCAR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ALKA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ALKIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ALMAD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ANGEN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ARCLK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ASTOR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ASUZU,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ATAKP,BIST_SANAYI,2020-01-01,,manual_seed,,medium
AVOD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
AYGAZ,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BAGFS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BAKAB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BANVT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BARMA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BAYRK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BESLR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BFREN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BIENY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BLCYT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BLUME,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BMSCH,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BMSTL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BNTAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BOBET,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BOSSA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BRISA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BRKSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BRSAN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BSOKE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BTCIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BUCIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BURCE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BURVA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
BVSAN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CCOLA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CELHA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CEMAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CEMTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CIMSA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CMBTN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CUSAN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
CVKMD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DAGI,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DARDL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DERIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DESA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DEVA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DGNMO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DITAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DMRGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DMSAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DNISI,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DOFER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DOGUB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DOKTA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DURDO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
DYOBY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EFOR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EGEEN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EGGUB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EGPRO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EGSER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EKSUN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ELITE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EMKEL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ENSRI,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EPLAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ERBOS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ERCB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EREGL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ERSU,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EUPWR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EUREN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FADE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FMIZP,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FORMT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FRIGO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FROTO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GEDZA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GENTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GEREL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GIPTA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GOKNR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GOLTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GOODY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GUBRF,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HATEK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HATSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HEKTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HKTM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IHEVA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IMASM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IPEKE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ISDMR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ISKPL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ISSEN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IZFAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IZINV,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IZMDC,BIST_SANAYI,2020-01-01,,manual_seed,,medium
JANTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KAPLM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KARSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KARTN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KATMR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KAYSE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KCAER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KERVT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLKIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLMSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLSER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLSYN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KMPUR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KNFRT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KONKA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KONYA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KOPOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KORDS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KOZAA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KOZAL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRDMA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRDMB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRDMD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRPLS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRSTL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRTEK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRVGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KTSKR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KUTPO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
LUKSK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MAKIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MAKTK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MEDTR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MEKAG,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MERCN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MERKO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MNDRS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MNDTR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MRSHL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
NIBAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
NUHCM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OFSYM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ONCSM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ORCAY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OTKAR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OYAKC,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OYLUM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OZRDN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OZSUB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PARSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PENGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PETKM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PETUN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PINSU,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PNLSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PNSUT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
POLTK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PRKAB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PRKME,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PRZMA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
QUAGR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RNPOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RODRG,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RTALB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RUBNS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RUZYE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SAFKR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SAMAT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SANFM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SARKY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SASA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SAYAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SEKUR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SELVA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SEYKM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SILVR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SKTAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SNICA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SOKE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SUNTK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TARKM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TATGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TEZOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TMPOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TMSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TOASO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRALT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRENJ,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRILC,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRMET,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TTRAK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TUCLK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TUKAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TUPRS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ULKER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ULUSE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ULUUN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
USAK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VANGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VESBE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VESTL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VKING,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YAPRK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YATAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YKSLN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YUNSA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YYLGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ARSAN,BIST_SANAYI,2020-01-01,2026-02-08,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1553656,high
SELGD,BIST_SANAYI,2020-01-01,2025-09-07,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1487084,high
ATEKS,BIST_SANAYI,2020-01-01,2025-03-19,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1408233,medium
TETMT,BIST_SANAYI,2020-01-01,2024-09-15,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1333899,high
MEGAP,BIST_SANAYI,2020-01-01,2024-08-21,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326585,medium
DOBUR,BIST_SANAYI,2020-01-01,2022-05-31,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
HURGZ,BIST_SANAYI,2020-01-01,2022-05-31,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
IHGZT,BIST_SANAYI,2020-01-01,2022-05-31,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
